,text,spam
0,subject                                                                sed                                                                real                                                                paper                                                                greeting                                                                cards                                                                on                                                                line                                                                birthday                                                                anniversary                                                                get                                                                well                                                                son                                                                thinking                                                                of                                                                you                                                                congratulations                                                                sympathy                                                                egagement                                                                good                                                                luck                                                                new                                                                baby                                                                new                                                                hoe                                                                love                                                                romance                                                                friendship                                                                retirement                                                                graduation                                                                thank                                                                you                                                                valentine                                                                day                                                                feb                                                                passover                                                                apr                                                                easter                                                                apr                                                                mother                                                                day                                                                may                                                                ather                                                                day                                                                jun                                                                rosh                                                                hashana                                                                sep                                                                hallowen                                                                oct                                                                thanksgiving                                                                nov                                                                christmas                                                                dec                                                                happy                                                                new                                                                year                                                                dec                                                                hanukkah                                                                dec                                                                you                                                                received                                                                this                                                                email                                                                because                                                                you                                                                signed                                                                up                                                                at                                                                one                                                                of                                                                cards                                                                in                                                                advance                                                                websites                                                                or                                                                you                                                                signed                                                                up                                                                with                                                                party                                                                tat                                                                has                                                                contracted                                                                with                                                                crds                                                                in                                                                advance                                                                to                                                                unsubscribe                                                                from                                                                the                                                                cards                                                                i                                                                advance                                                                mailing                                                                ist                                                                please                                                                reply                                                                t                                                                this                                                                email                                                                with                                                                remove                                                                as                                                                the                                                                subject                                                                http                                                                xent                                                                com                                                                mailman                                                                listinfo                                                                fork                                1,1
1,subject                                                                sen                                                                real                                                                paper                                                                greeting                                                                cards                                                                on                                                                line                                                                birthday                                                                anniversary                                                                ge                                                                well                                                                soon                                                                thinking                                                                of                                                                you                                                                congratulations                                                                sympathy                                                                engagement                                                                good                                                                luck                                                                new                                                                baby                                                                new                                                                home                                                                love                                                                romance                                                                friendship                                                                retirement                                                                graduation                                                                thank                                                                yo                                                                valentine                                                                day                                                                feb                                                                passover                                                                apr                                                                easter                                                                apr                                                                moter                                                                day                                                                may                                                                father                                                                day                                                                jn                                                                rosh                                                                hashana                                                                sep                                                                hallween                                                                oct                                                                tanksgiving                                                                nov                                                                christmas                                                                dec                                                                happy                                                                new                                                                year                                                                dec                                                                hanukkah                                                                c                                                                you                                                                received                                                                this                                                                email                                                                because                                                                you                                                                signed                                                                up                                                                at                                                                one                                                                of                                                                cards                                                                in                                                                advance                                                                websites                                                                or                                                                you                                                                signed                                                                up                                                                with                                                                party                                                                that                                                                has                                                                contracted                                                                with                                                                cards                                                                in                                                                advance                                                                to                                                                unsubscribe                                                                from                                                                the                                                                cads                                                                in                                                                adance                                                                mailing                                                                list                                                                please                                                                reply                                                                to                                                                this                                                                email                                                                with                                                                remove                                                                as                                                                the                                                                subject                                                                http                                                                xent                                                                com                                                                mailman                                                                listinfo                                                                fork                                1,1
2,subject                                                                send                                                                ral                                                                paper                                                                greeting                                                                cards                                                                on                                                                line                                                                birthday                                                                anniversary                                                                get                                                                well                                                                soon                                                                thinking                                                                of                                                                you                                                                congratulations                                                                sympathy                                                                enggement                                                                good                                                                lck                                                                new                                                                baby                                                                new                                                                home                                                                love                                                                romance                                                                friendship                                                                retirement                                                                graduation                                                                thank                                                                you                                                                valentine                                                                day                                                                feb                                                                passover                                                                apr                                                                easter                                                                apr                                                                mother                                                                day                                                                may                                                                father                                                                day                                                                jun                                                                rosh                                                                hashana                                                                se                                                                halloween                                                                oct                                                                thanksgiving                                                                nov                                                                christmas                                                                dec                                                                happy                                                                new                                                                year                                                                dec                                                                hanukkah                                                                dec                                                                you                                                                received                                                                this                                                                email                                                                because                                                                you                                                                signed                                                                up                                                                at                                                                one                                                                of                                                                cards                                                                in                                                                advance                                                                websites                                                                or                                                                yo                                                                signed                                                                up                                                                with                                                                party                                                                that                                                                has                                                                contracted                                                                with                                                                crds                                                                in                                                                advance                                                                to                                                                unubscribe                                                                from                                                                the                                                                cards                                                                in                                                                advance                                                                mailing                                                                list                                                                please                                                                reply                                                                to                                                                this                                                                email                                                                with                                                                rmov                                                                as                                                                the                                                                subject                                                                http                                                                xent                                                                cm                                                                mailman                                                                listinfo                                                                ork                                1,1
3,subject                                                                send                                                                real                                                                paper                                                                greeting                                                                ards                                                                on                                                                line                                                                birthda                                                                anniversary                                                                get                                                                well                                                                oo                                                                thinking                                                                of                                                                you                                                                congratulations                                                                sympathy                                                                engagement                                                                good                                                                luck                                                                new                                                                baby                                                                new                                                                home                                                                love                                                                romance                                                                friendship                                                                retirement                                                                graduation                                                                thank                                                                you                                                                valntine                                                                day                                                                feb                                                                passover                                                                ap                                                                easter                                                                apr                                                                mother                                                                ay                                                                ay                                                                father                                                                day                                                                jun                                                                rosh                                                                hashana                                                                sep                                                                halloween                                                                oct                                                                thanksgiving                                                                nov                                                                christmas                                                                dec                                                                happy                                                                new                                                                year                                                                dec                                                                hanukkah                                                                dec                                                                you                                                                received                                                                this                                                                email                                                                because                                                                you                                                                signed                                                                up                                                                at                                                                one                                                                of                                                                cards                                                                in                                                                advance                                                                websites                                                                or                                                                you                                                                signed                                                                up                                                                with                                                                party                                                                that                                                                has                                                                contracted                                                                with                                                                cards                                                                in                                                                advance                                                                to                                                                unsubscribe                                                                from                                                                the                                                                cads                                                                in                                                                advance                                                                mailing                                                                list                                                                please                                                                reply                                                                to                                                                this                                                                email                                                                wth                                                                remove                                                                as                                                                the                                                                suject                                                                http                                                                xent                                                                com                                                                mailman                                                                listinfo                                                                fork                                1,1
4,subject                                                                send                                                                real                                                                paper                                                                greeting                                                                ards                                                                on                                                                line                                                                birthday                                                                anniversary                                                                get                                                                well                                                                soon                                                                thinking                                                                of                                                                you                                                                congatulations                                                                sympathy                                                                engagement                                                                good                                                                luck                                                                new                                                                baby                                                                new                                                                hoe                                                                love                                                                romance                                                                friendship                                                                retirement                                                                graduation                                                                tank                                                                you                                                                valentine                                                                day                                                                feb                                                                passover                                                                apr                                                                easter                                                                apr                                                                mothe                                                                day                                                                may                                                                father                                                                day                                                                jun                                                                rsh                                                                hashana                                                                sep                                                                haloween                                                                oct                                                                thanksgiving                                                                nov                                                                christmas                                                                dec                                                                happy                                                                new                                                                year                                                                dec                                                                hanukkah                                                                dec                                                                you                                                                received                                                                thi                                                                email                                                                because                                                                you                                                                signed                                                                up                                                                at                                                                one                                                                of                                                                cards                                                                in                                                                advance                                                                websites                                                                or                                                                you                                                                signed                                                                up                                                                with                                                                party                                                                that                                                                has                                                                contracted                                                                wit                                                                cards                                                                in                                                                advance                                                                to                                                                unsubscribe                                                                from                                                                the                                                                ards                                                                in                                                                advance                                                                mailing                                                                list                                                                please                                                                reply                                                                to                                                                this                                                                email                                                                with                                                                remove                                                                as                                                                the                                                                subject                                                                htt                                                                xent                                                                com                                                                mailman                                                                listinfo                                                                fork                                1,1
5,subject                                                                send                                                                real                                                                paper                                                                greeting                                                                cads                                                                on                                                                line                                                                birthday                                                                anniversary                                                                get                                                                well                                                                son                                                                thinking                                                                of                                                                you                                                                congratulations                                                                sympathy                                                                engagement                                                                good                                                                luck                                                                new                                                                baby                                                                new                                                                hom                                                                love                                                                romance                                                                friendship                                                                retirement                                                                graduation                                                                thank                                                                you                                                                valentine                                                                day                                                                feb                                                                passover                                                                apr                                                                easter                                                                ar                                                                mother                                                                day                                                                may                                                                father                                                                day                                                                jun                                                                ros                                                                hashana                                                                sep                                                                halloween                                                                oct                                                                thanksgiving                                                                nov                                                                christmas                                                                dec                                                                happy                                                                new                                                                year                                                                dec                                                                hanukkah                                                                dec                                                                you                                                                received                                                                this                                                                emai                                                                becaue                                                                you                                                                igned                                                                up                                                                at                                                                one                                                                of                                                                cards                                                                in                                                                advance                                                                websites                                                                or                                                                you                                                                signed                                                                up                                                                with                                                                party                                                                that                                                                has                                                                contracted                                                                with                                                                cards                                                                in                                                                advance                                                                to                                                                unsubscribe                                                                from                                                                the                                                                cards                                                                in                                                                advance                                                                miling                                                                list                                                                please                                                                reply                                                                to                                                                this                                                                email                                                                with                                                                remove                                                                as                                                                th                                                                subject                                                                http                                                                xent                                                                com                                                                mailman                                                                listinfo                                                                ork                                1,1
